Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
woody,Woody,"<p>Earthy roots with a twist of Tobacco Oud. Patchouli and Sandalwood create a rich, warm, intense cleanse with remarkable, lasting scent.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Sandalwood Oil, Tobacco Oil, Patchouli Oil.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Cedar wood Oil, Sandalwood Oil, Tobacco Oil, Patchouli Oil, Sweet Orange Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Royal Duke Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Duke Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible",TRUE,Title,Default Title,,207,shopify,25,deny,manual,20.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/woody__woody-1.jpg,1,Woody — Royal Being herbal soap,FALSE,Woody · The Royal Duke Collection | Royal Being,"Earthy roots with a twist of Tobacco Oud. Patchouli and Sandalwood create a rich, warm, intense cleanse with remarkable, lasting scent.",active
woody,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/woody__woody-2.jpg,2,Woody — view 2,,,,
woody,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/woody__woody-3.jpg,3,Woody — view 3,,,,
woody,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/woody__woody-4.jpg,4,Woody — view 4,,,,
bamboozled,Bamboozled,"<p>The crisp world of Green Bamboo, with delicate balsam and bamboo reeds. Masculine, grounding, and unpretentious — a fresh, wild, clean finish.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Fir Balsam Oil, White Tea Oil, Cedar Wood Oil.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Bamboo FO, Organic Fir Balsam Oil, White Tea Oil, Cedar Wood Oil, Sandalwood Oil, Patchouli Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Royal Duke Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Duke Collection, Herbal Soap, Handmade, All Natural, Made in USA, Subscription Eligible, Featured",TRUE,Title,Default Title,,207,shopify,25,deny,manual,19.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/bamboozled__bamboozled-1.jpg,1,Bamboozled — Royal Being herbal soap,FALSE,Bamboozled · The Royal Duke Collection | Royal Being,"The crisp world of Green Bamboo, with delicate balsam and bamboo reeds. Masculine, grounding, and unpretentious — a fresh, wild, clean finish.",active
bamboozled,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/bamboozled__bamboozled-2.jpg,2,Bamboozled — view 2,,,,
bamboozled,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/bamboozled__bamboozled-3.jpg,3,Bamboozled — view 3,,,,
bamboozled,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/bamboozled__bamboozled-4.jpg,4,Bamboozled — view 4,,,,
teakwood,Teakwood,"<p>Warm, woody, and provocative. Teakwood, Warm Oud, and Patchouli over Goat’s Milk for a rich, luxurious lather with smoky, outdoorsy notes.</p>
<p><strong>Key Ingredients:</strong> Goat’s Milk, Teakwood Oil, Tobacco Oud, Warm Oud Oil.</p>
<p><strong>Full Ingredients:</strong> Goat’s Milk, Teakwood Oil, Tobacco Oud, Patchouli Oil, Lavender Oil, Black Pepper Oil, Warm Oud Oil, Clove Oil, Cardamom Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 7.3 oz · <strong>Collection:</strong> The Royal Duke Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Duke Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,207,shopify,0,deny,manual,21.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/teakwood__teakwood-1.jpg,1,Teakwood — Royal Being herbal soap,FALSE,Teakwood · The Royal Duke Collection | Royal Being,"Warm, woody, and provocative. Teakwood, Warm Oud, and Patchouli over Goat’s Milk for a rich, luxurious lather with smoky, outdoorsy notes.",active
teakwood,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/teakwood__teakwood-2.jpg,2,Teakwood — view 2,,,,
teakwood,,,,,,,,Title,Default Title,,,,,,,,,,,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/teakwood__teakwood-3.jpg,3,Teakwood — view 3,,,,
the-chloe,The Chloe,"<p>Full bloom for little ones. Gentle lavender and spearmint with a soft, caressing lather that leaves delicate skin feeling supple, smooth, and restored.</p>
<p><strong>Key Ingredients:</strong> Coconut Milk, Mango Base, Lavender Oil, Roman Chamomile Oil.</p>
<p><strong>Full Ingredients:</strong> Coconut Milk, Mango Base, Lavender Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Cherry Blossom Oil, Natural Coloring, and Natural Preservative.</p>
<p><strong>How to Use:</strong> Work into a rich lather with warm water, massage over skin, and rinse. Store on a well-draining dish between uses.</p>
<p><strong>Weight:</strong> 5.29 oz · <strong>Collection:</strong> The Royal Kid Herbal Collection</p>
<p><em>Handmade &amp; hand-poured in small batches · 100% Natural · Made in USA.</em></p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Bar Soap,Herbal Soap,"The Royal Kid Herbal Collection, Herbal Soap, Handmade, All Natural, Made in USA, Coming Soon",TRUE,Title,Default Title,,150,shopify,0,deny,manual,12.99,,TRUE,TRUE,,https://raw.githubusercontent.com/asharqasmani-dotcom/royal-being-images/main/the-chloe.jpg,1,The Chloe — Royal Being herbal soap,FALSE,The Chloe · The Royal Kid Herbal Collection | Royal Being,"Full bloom for little ones. Gentle lavender and spearmint with a soft, caressing lather that leaves delicate skin feeling supple, smooth, and restored.",active
